fish.id,species,date.caught,month.caught,year.caught,motu,island.side,wind.exposure,date.processed,TL.cm,FL.cm,SL.cm,whole.weight.g,otoliths.label,otoliths.number,gonad.weight.g,sex,stage.coarse,stage.detailed,liver.weight.g,age.final,notes,notes.2
AIE40,Stegastes nigricans,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,13.9,11.6,11.2,69.6,D8,2,0.13,f,mature,NG,0.36,3,,
AIE41,Stegastes nigricans,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,13.4,11.6,10.2,62.93,D9,2,0.6,f,,G,0.38,5,,
AIE42,Stegastes nigricans,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,14.4,12.6,11.6,71,D10,2,0.57,f,mature,NG,0.31,4,,
AIE43,Stegastes nigricans,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,7.6,6.6,5.8,10.26,D11,2,,i,,,,2,liver too small,
AIE44,Abudefduf septemfasciatus,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,18.8,16.7,14.5,153.85,D12,2,0.33,m,mature,,0.85,16,,
AIE45,Abudefduf septemfasciatus,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,17.6,16.2,14.2,146.34,E1,2,0.63,f,,G,0.58,5,,
AIE46,Lutjanus fulvus,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,23,,19.4,183.42,E2,2,0.51,m,mature,,0.85,3,,
AIE47,Lutjanus fulvus,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,25.4,23.6,20.6,241.33,E3,2,1.89,m,mature,,2,4,,orange fat
AIE48,Lutjanus fulvus,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,24.2,23.1,20.3,246.4,E4,2,8.85,m,mature,,2.04,4,"white, milky but female shpae??",orange fat
AIE49,Lutjanus fulvus,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,24.2,23,20.1,220,"E5, E6",2 (1 in each well),2.42,f,mature,NG,1.83,5,,orange fat
AIE50,Lutjanus fulvus,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,28.3,27,23.7,407.55,VIAL,2,8.95,f,mature,NG,3.55,7,,orange fat
REI01,Acanthurus triostegus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,15.7,,13.1,85.69,Box 1 - G1,2 (1 broken),1.14,f,mature,G,0.63,5,,
REI02,Acanthurus triostegus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,15.6,,13.2,74,Box 1 - G2,2,0.96,f,mature,G,,7,,
REI03,Acanthurus triostegus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,17,,13.5,86.34,Box 1 - G3,2,0.62,f,mature,G,0.6,7,,
REI04,Acanthurus triostegus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,16.8,,14.1,92.29,Box 1 - G4,2,0.82,f,mature,G,0.55,8,,
REI05,Acanthurus triostegus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,17.6,,14.5,114.43,Box 1 - G5,2,0.81,f,mature,G,0.79,11,,
