fish.id,species,date.caught,month.caught,year.caught,motu,island.side,wind.exposure,date.processed,sif.name,sample.name,n15,c13,n.percent,c.percent,dup.n15,dup.c13,dup.n,dup.c,trip.n15,trip.c13,trip.n,trip.c
AIE36,Acanthurus triostegus,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,230316 Plate 6 A1.raw,F137_AIE 36,7.6,-11.89,14.7,46.52,7.61,-11.8,14.66,46.36,7.65,-11.76,14.67,46.39
AIE37,Stegastes nigricans,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,230317 Plate 6 C7.raw,F154_AIE 37,8.96,-11.99,14.44,46.23,,,,,,,,
AIE38,Stegastes nigricans,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,230316 Plate 6 B3.raw,F149_AIE 38,9.16,-12.34,14.67,46.18,,,,,,,,
AIE39,Stegastes nigricans,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,230316 Plate 6 A11.raw,F145_AIE 39,9.08,-12.51,14.64,46.17,,,,,,,,
AIE40,Stegastes nigricans,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,230316 Plate 6 A4.raw,F138_AIE 40,9.4,-12.5,14.52,46.01,,,,,,,,
AIE41,Stegastes nigricans,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,230317 Plate 6 C9.raw,F156_AIE 41,8.37,-11.57,14.19,45.2,,,,,,,,
AIE42,Stegastes nigricans,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,230317 Plate 6 C4.raw,F151_AIE 42,9.3,-13.16,14.43,46.18,,,,,,,,
AIE43,Stegastes nigricans,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,230316 Plate 6 A9.raw,F143_AIE 43,8.8,-11.91,14.29,45.3,,,,,,,,
AIE44,Abudefduf septemfasciatus,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,230316 Plate 6 A12.raw,F146_AIE 44,6.64,-6.23,14.6,46.05,,,,,,,,
AIE45,Abudefduf septemfasciatus,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,230316 Plate 6 B2.raw,F148_AIE 45,8.92,-6.6,14.67,45.98,,,,,,,,
AIE46,Lutjanus fulvus,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,230317 Plate 6 C1.raw,F150_AIE 46,9.5,-9.25,14.68,46.3,9.56,-9.19,14.83,46.39,9.56,-9.14,14.84,46.4
AIE47,Lutjanus fulvus,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,230316 Plate 6 A7.raw,F141_AIE 47,12.13,-13.42,14.5,47.46,,,,,,,,
AIE48,Lutjanus fulvus,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,230316 Plate 6 A6.raw,F140_AIE 48,12.53,-13.36,14.77,46.77,,,,,,,,
AIE49,Lutjanus fulvus,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,230316 Plate 6 B1.raw,F147_AIE 49,11.51,-12.16,14.74,46.64,,,,,,,,
AIE50,Lutjanus fulvus,20-Jun-22,June,2022,Aie,north,windward,20-Jun-22,230317 Plate 6 C5.raw,F152_AIE 50,12.12,-13.89,14.63,47.28,,,,,,,,
REI01,Acanthurus triostegus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 C12.raw,F109_REI 01,7.69,-12.59,14.51,45.44,,,,,,,,
REI02,Acanthurus triostegus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 A8.raw,F92_REI 02,15.41,-11.05,14.36,45.24,,,,,,,,
REI03,Acanthurus triostegus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 C8.raw,F105_REI 03,7.85,-12.81,14.34,44.82,,,,,,,,
REI04,Acanthurus triostegus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 G1.raw,F126_REI 04,9.23,-12.76,14.6,45.3,9.18,-12.88,14.49,45.05,9.21,-12.73,14.49,44.95
REI05,Acanthurus triostegus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 C11.raw,F108_REI 05,8.51,-14.09,14.32,44.76,,,,,,,,
REI06,Acanthurus triostegus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 D1.raw,F110_REI 06,13.77,-11.62,14.22,44.71,,,,,,,,
REI07,Abudefduf septemfasciatus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 E9.raw,F119_REI 07,10.94,-7.69,14.45,45.17,,,,,,,,
REI08,Abudefduf septemfasciatus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 D2.raw,F111_REI 08,9.48,-8.56,14.37,45.01,,,,,,,,
REI09,Abudefduf septemfasciatus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 E8.raw,F118_REI 09,11.78,-7.3,14.35,45.37,,,,,,,,
REI10,Abudefduf septemfasciatus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 A6.raw,F90_REI 10,12.02,-7.9,14.4,45.13,,,,,,,,
REI11,Stegastes nigricans,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 C4.raw,F101_REI 11,10,-13.18,14.37,45.27,,,,,,,,
REI12,Stegastes nigricans,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 C1.raw,F100_REI 12,9.5,-12.35,14.1,44.66,9.53,-12.35,14.02,44.58,9.53,-12.41,14.31,45.32
REI13,Stegastes nigricans,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 D3.raw,F112_REI 13,10.12,-12.01,14.2,45.18,,,,,,,,
REI14,Stegastes nigricans,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 A9.raw,F93_REI 14,9.91,-11.93,14.27,45.35,,,,,,,,
REI15,Stegastes nigricans,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 C5.raw,F102_REI 15,10.28,-12.88,14.23,45.38,,,,,,,,
REI16,Stegastes nigricans,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 A12.raw,F96_REI 16,10.6,-13.66,14.33,45.42,,,,,,,,
REI17,Abudefduf septemfasciatus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 C6.raw,F103_REI 17,14.91,-7.53,14.41,45.3,,,,,,,,
REI18,Stegastes nigricans,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 A11.raw,F95_REI 18,9.6,-11.67,14.1,45.05,,,,,,,,
REI19,Lutjanus fulvus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 E12.raw,F122_REI 19,10.49,-10.33,14.55,45.33,,,,,,,,
REI20,Lutjanus fulvus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 C10.raw,F107_REI 20,12.24,-12.6,14.24,45.65,,,,,,,,
REI21,Lutjanus fulvus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 A1.raw,F87_REI 121,12.19,-12.72,14.07,44.74,12.23,-12.85,14.25,45.15,12.25,-12.66,14.19,44.94
REI22,Lutjanus fulvus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 E11.raw,F121_REI 22,11.27,-11.48,14.44,45.11,,,,,,,,
REI23,Lutjanus fulvus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 B3.raw,F99_REI 23,10.59,-10.79,14.32,45.69,,,,,,,,
REI29,Cephalopholis argus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 C7.raw,F104_REI 29,11.27,-12.16,14.63,46.27,,,,,,,,
REI30,Cephalopholis argus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 E6.raw,F116_REI 30,11.81,-12.14,14.43,45.23,,,,,,,,
REI31,Cephalopholis argus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 F3.raw,F125_REI 31,13.15,-13.98,14.5,45.52,,,,,,,,
REI32,Cephalopholis argus,12-Nov-21,November,2021,Reiono,east,windward,12-Nov-21,230315 Plate 5 A7.raw,F91_REI 32,12.58,-12.27,14.44,46.13,,,,,,,,
RIM01,Acanthurus triostegus,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,230309 Plate 1 G6.raw,F167_RIM 01,7.26,-15.15,14.29,45.11,,,,,,,,
RIM02,Acanthurus triostegus,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,230313 Plate 2 G12.raw,F194_RIM 02,7.39,-13.73,14.53,45.4,,,,,,,,
RIM03,Stegastes nigricans,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,230313 Plate 2 F2.raw,F183_RIM 03,7.92,-12.31,14.04,44.74,,,,,,,,
RIM04,Stegastes nigricans,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,230313 Plate 2 G9.raw,F191_RIM 04,8.02,-12.36,14.08,44.67,,,,,,,,
RIM05,Acanthurus triostegus,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,230313 Plate 2 E10.raw,F179_RIM 05,7.36,-13.72,14.38,44.95,,,,,,,,
RIM06,Acanthurus triostegus,27-Nov-21,November,2021,Rimatuu,west,leeward,11-Jun-22,230309 Plate 1 G5.raw,F166_RIM 06,7.34,-13.41,14.3,45.1,,,,,,,,
