"","fish.id","species","date.caught","month.caught","year.caught","site.name","motu","island.side","wind.exposure","date.processed","sif.name","sample.name","n15","c13","n.percent","c.percent","dup.n15","dup.c13","dup.n","dup.c","trip.n15","trip.c13","trip.n","trip.c","protection","TL.cm","FL.cm","SL.cm","whole.weight.g","gonad.weight.g","sex","stage.coarse","stage.detailed","liver.weight.g"
"19","AIE21","Acanthurus triostegus","29-Jul-21","July",2021,"Aie_Protected","Aie","south","leeward","3-Nov-21","230316 Plate 4 C11.raw","F74_AIE 21",8.62,-12.09,13.91,45.42,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",14.5,NA,12,78.7,2.75,"f","mature","NG",0.24
"20","AIE22","Stegastes nigricans","29-Jul-21","July",2021,"Aie_Protected","Aie","south","leeward","3-Nov-21","230316 Plate 4 C12.raw","F75_AIE 22",10.35,-12.04,14.27,45.49,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",14.9,13.4,11.4,82.72,NA,"m","","",NA
"21","AIE23","Stegastes nigricans","29-Jul-21","July",2021,"Aie_Protected","Aie","south","leeward","3-Nov-21","230316 Plate 4 D1.raw","F76_AIE 23",8.41,-12.05,14.32,45.4,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",12.4,10.9,9.1,44.21,NA,"m","","",NA
"22","REI01","Acanthurus triostegus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 C12.raw","F109_REI 01",7.69,-12.59,14.51,45.44,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",15.7,NA,13.1,85.69,1.14,"f","mature","G",0.63
"23","REI02","Acanthurus triostegus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 A8.raw","F92_REI 02",15.41,-11.05,14.36,45.24,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",15.6,NA,13.2,74,0.96,"f","mature","G",NA
"24","REI03","Acanthurus triostegus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 C8.raw","F105_REI 03",7.85,-12.81,14.34,44.82,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",17,NA,13.5,86.34,0.62,"f","mature","G",0.6
"25","REI04","Acanthurus triostegus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 G1.raw","F126_REI 04",9.23,-12.76,14.6,45.3,9.18,-12.88,14.49,45.05,9.21,-12.73,14.49,44.95,"Exposed",16.8,NA,14.1,92.29,0.82,"f","mature","G",0.55
"26","REI05","Acanthurus triostegus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 C11.raw","F108_REI 05",8.51,-14.09,14.32,44.76,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",17.6,NA,14.5,114.43,0.81,"f","mature","G",0.79
"27","REI06","Acanthurus triostegus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 D1.raw","F110_REI 06",13.77,-11.62,14.22,44.71,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",14.7,NA,12.3,71.73,1.37,"f","mature","G",0.88
"28","REI07","Abudefduf septemfasciatus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 E9.raw","F119_REI 07",10.94,-7.69,14.45,45.17,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",17.7,15.1,13.4,141.78,4.61,"f","mature","NG",1.06
"29","REI08","Abudefduf septemfasciatus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 D2.raw","F111_REI 08",9.48,-8.56,14.37,45.01,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",16.3,14.5,13.4,111.5,2.17,"f","mature","NG",0.72
"30","REI09","Abudefduf septemfasciatus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 E8.raw","F118_REI 09",11.78,-7.3,14.35,45.37,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",17.9,16.4,14.7,179.3,1.28,"m","","",1.64
"31","REI10","Abudefduf septemfasciatus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 A6.raw","F90_REI 10",12.02,-7.9,14.4,45.13,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",16.1,14.5,12.2,87.19,0.11,"m","","",0.38
"32","REI11","Stegastes nigricans","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 C4.raw","F101_REI 11",10,-13.18,14.37,45.27,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",13.5,12.9,10.5,89,1.94,"f","mature","G",0.33
"33","REI12","Stegastes nigricans","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 C1.raw","F100_REI 12",9.5,-12.35,14.1,44.66,9.53,-12.35,14.02,44.58,9.53,-12.41,14.31,45.32,"Exposed",13.8,10.4,9.9,37.42,0.08,"m","","",0.08
"34","REI13","Stegastes nigricans","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 D3.raw","F112_REI 13",10.12,-12.01,14.2,45.18,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",12.5,11,10.1,46.75,0.04,"m","","",0.19
"35","REI14","Stegastes nigricans","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 A9.raw","F93_REI 14",9.91,-11.93,14.27,45.35,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",12.9,11.5,10,51.05,0.27,"m","","",0.28
"36","REI15","Stegastes nigricans","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 C5.raw","F102_REI 15",10.28,-12.88,14.23,45.38,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",15,13.9,11.8,71.32,0.09,"m","","",0.28
"37","REI16","Stegastes nigricans","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 A12.raw","F96_REI 16",10.6,-13.66,14.33,45.42,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",13.5,12,10.3,57.58,0.11,"m","","",0.16
"38","REI17","Abudefduf septemfasciatus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 C6.raw","F103_REI 17",14.91,-7.53,14.41,45.3,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",17.7,16,14.1,125.72,2.04,"f","mature","G",0.46
"39","REI18","Stegastes nigricans","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 A11.raw","F95_REI 18",9.6,-11.67,14.1,45.05,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",12.6,11.5,10.1,49.79,0.04,"m","","",0.12
"40","REI19","Lutjanus fulvus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 E12.raw","F122_REI 19",10.49,-10.33,14.55,45.33,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",23.7,22.4,19,180.65,2.26,"f","mature","NG",0.26
"41","REI20","Lutjanus fulvus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 C10.raw","F107_REI 20",12.24,-12.6,14.24,45.65,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",24,22.5,19,200,3.49,"f","mature","NG",1.23
"42","REI21","Lutjanus fulvus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 A1.raw","F87_REI 121",12.19,-12.72,14.07,44.74,12.23,-12.85,14.25,45.15,12.25,-12.66,14.19,44.94,"Exposed",24.7,23.1,20.6,225,1.81,"f","mature","NG",0.85
"43","REI22","Lutjanus fulvus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 E11.raw","F121_REI 22",11.27,-11.48,14.44,45.11,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",27,25.5,22.2,265,2.75,"f","mature","NG",1.32
"44","REI23","Lutjanus fulvus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 B3.raw","F99_REI 23",10.59,-10.79,14.32,45.69,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",24.3,22.7,19.1,225,1.35,"f","mature","NG",1.19
"45","REI29","Cephalopholis argus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 C7.raw","F104_REI 29",11.27,-12.16,14.63,46.27,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",22.4,NA,19.2,169.78,5.29,"f","mature","G",1.6
"46","REI30","Cephalopholis argus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 E6.raw","F116_REI 30",11.81,-12.14,14.43,45.23,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",23.3,NA,20.7,194.24,1.68,"f","mature","NG",0.95
"47","REI31","Cephalopholis argus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 F3.raw","F125_REI 31",13.15,-13.98,14.5,45.52,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",30.2,NA,26.4,415,0.53,"m","","",1.8
"48","REI32","Cephalopholis argus","12-Nov-21","November",2021,"Reiono_Exposed","Reiono","east","windward","12-Nov-21","230315 Plate 5 A7.raw","F91_REI 32",12.58,-12.27,14.44,46.13,NA,NA,NA,NA,NA,NA,NA,NA,"Exposed",43.8,NA,38.4,1455,4.22,"m","","",9.27
"49","RIM01","Acanthurus triostegus","27-Nov-21","November",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230309 Plate 1 G6.raw","F167_RIM 01",7.26,-15.15,14.29,45.11,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",16.3,NA,13.8,109.55,1.12,"f","mature","G",0.76
"50","RIM02","Acanthurus triostegus","27-Nov-21","November",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230313 Plate 2 G12.raw","F194_RIM 02",7.39,-13.73,14.53,45.4,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",15.8,NA,13.1,105,1.17,"f","mature","G",0.69
"51","RIM03","Stegastes nigricans","27-Nov-21","November",2021,"Rimatuu_Protected","Rimatuu","west","leeward","11-Jun-22","230313 Plate 2 F2.raw","F183_RIM 03",7.92,-12.31,14.04,44.74,NA,NA,NA,NA,NA,NA,NA,NA,"Protected",11.5,10.4,9.4,33.94,0.04,"m","mature","",0.11
