"sample.id","Observed","Shannon","FaithPD","collection.date","motu","island.side","station","site","transect","distance.along.transect","lat","long","sample.type","health.state","algae.N15","algae.C13.not.acid","algae.N.percent","rat.status","mL_sterivex","Evenness","RelAbund_Rhodospirillales_AEGEAN_169_marine_group","RelAbund_SAR11_CladeIa","RelAbund_SAR11_CladeIb","RelAbund_SAR11_CladeII","RelAbund_Prochlorococcus","RelAbund_SAR116_Clade","RelAbund_SAR86_Clade","RelAbund_Synechococcus","RelAbund_Cellvibrionales_Aestuariicella","RelAbund_Alteromonadales_Agaribacter","RelAbund_Cytophagales_Candidatus_Amoebophilus","RelAbund_Endozoicomonas","RelAbund_Alteromonadales_Glaciecola","RelAbund_Oceanospirillales_Neptuniibacter","RelAbund_Cellvibrionales_Porticoccus","RelAbund_Woesearchaeales_SCGC_AAA286E23","RelAbund_Litoricola","RelAbund_Uncultured_Alteromonadaceaeae","NMDS1","NMDS2","beta_dispersion_motu_islandside","site.name"
"TC163",130,2.996099775,18.45232114,"9-Nov-21","aie","windward","A2Tb10",2,"b",10,17.00767,149.53595,"coral","D5",6.83,-9.11,0.48,"none",NA,0.615527184346806,NA,NA,NA,NA,NA,NA,NA,NA,0,0.018582243633861,0,0.631796283551273,0.0137646249139711,0,0,0.00412938747419133,0.0110116999311769,0.0591878871300757,-1.83736425746952,-2.31676283018885,0.50778627315124,"A2"
"TC164",84,2.500787228,13.10790472,"9-Nov-21","aie","windward","A2Tb20",2,"b",20,17.00759,149.53596,"coral","D5",6.29,-8.71,0.34,"none",NA,0.564407724700521,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00550584996558844,0,0.686166551961459,0.00550584996558844,0,0,0.00206469373709566,0.0289057123193393,0.0660701995870613,-0.792544400657254,-1.5687930606315,0.510997496358337,"A2"
"TC165",198,4.547841777,24.24972767,"9-Nov-21","aie","windward","A2Tb30",2,"b",30,17.0075,149.536,"coral","E5",6.04,-8.79,0.37,"none",NA,0.859987166041937,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0275292498279422,0,0.0488644184445974,0.0075705437026841,0.000688231245698555,0,0,0.094287680660702,0.131452167928424,-3.88809856157091,-1.78207279767771,0.550576770427648,"A2"
"TC166",93,3.191308991,14.43723843,"9-Nov-21","aie","windward","A2Tb40",2,"b",40,17.00742,149.536,"coral","E4",NA,NA,NA,"none",NA,0.704079192485603,NA,NA,NA,NA,NA,NA,NA,NA,0.00206469373709566,0.0646937370956641,0.0344115622849277,0,0.150034411562285,0.0316586373021335,0.144528561596696,0.0206469373709566,0.0399174122505162,0.250516173434274,-3.10543850058495,-1.79268893396327,0.50167322774857,"A2"
"TC167",16,1.339324597,2.838488937,"9-Nov-21","aie","windward","A2Tc10",2,"c",10,17.00764,149.53572,"coral","E5",7.3,-8.27,0.59,"none",NA,0.483059238558127,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.977288368891948,0,0,0,0,0,0.00412938747419133,2.25717197738372,-0.672553395402977,0.625116991014367,"A2"
"TC168",140,4.064003303,21.05667906,"9-Nov-21","aie","windward","A2Tc20",2,"c",20,17.00761,149.53572,"coral","E4",6.09,-10.58,0.52,"none",NA,0.822399306838982,NA,NA,NA,NA,NA,NA,NA,NA,0.012388162422574,0.0344115622849277,0,0.102546455609085,0.0529938059187887,0.0206469373709566,0.00412938747419133,0.0144528561596696,0.0103234686854783,0.122505161734343,-3.7411894981535,-0.614529583919674,0.52500106007918,"A2"
"TC170",108,3.270799104,17.79459408,"9-Nov-21","aie","windward","A2Tc40",2,"c",40,17.00739,149.53574,"coral","E5",NA,NA,NA,"none",NA,0.698570575094482,NA,NA,NA,NA,NA,NA,NA,NA,0.00412938747419133,0.0268410185822436,0.153475567790778,0.40467997247075,0.00412938747419133,0.00137646249139711,0.00206469373709566,0,0,0.0075705437026841,-2.36526491216687,-1.19150640005751,0.556965107962343,"A2"
"TC171",5,1.364545397,0.053488247,"10-Nov-21","reiono","leeward","Re1Ta10",1,"a",10,17.04528,149.54781,"coral","E5",10.66,-8.88,0.61,"none (recently eradicated)",NA,0.847839724948615,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,3.27885135962542,-0.0829356928306692,0.400742322139793,"Re1"
"TC172",262,4.936605502,26.8578082,"10-Nov-21","reiono","leeward","Re1Ta20",1,"a",20,17.04528,149.54791,"coral","E5",8.62,-7.45,0.59,"none (recently eradicated)",NA,0.886548147059796,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0791465932553338,0,0.0798348245010324,0.00481761871988988,0,0,0.00412938747419133,0,0.00206469373709566,-4.41343078096231,-1.24704453429057,0.743450563067784,"Re1"
"TC173",7,1.37770511,0.317048809,"10-Nov-21","reiono","leeward","Re1Ta30",1,"a",30,17.04528,149.54802,"coral","D5",6.63,-7.86,0.42,"none (recently eradicated)",NA,0.708000372303335,NA,NA,NA,NA,NA,NA,NA,NA,0.000688231245698555,0,0,0.999311768754301,0,0,0,0,0,0,3.07115547463029,0.0241836085171887,0.401298049993946,"Re1"
"TC174",65,2.075544767,11.26061221,"10-Nov-21","reiono","leeward","Re1Ta40",1,"a",40,17.04526,149.5481,"coral","E4",6.18,-8.22,0.57,"none (recently eradicated)",NA,0.497209442441571,NA,NA,NA,NA,NA,NA,NA,NA,0.0805230557467309,0,0.296627666896077,0,0,0,0,0.496902959394357,0.00137646249139711,0,-2.11006913575469,4.20359537654373,0.736866173377131,"Re1"
