"site.name","N.15_at_10m","N.15_at_20m","N.15_at_30m","N.15_at_40m","breeding_biomass_kgha_100m","breeding_biomass_kgha_200m","breeding_biomass_kgha_side","breeding_biomass_kgha_motu","breeding_density_ha_100m","breeding_density_ha_200m","breeding_density_ha_side","breeding_density_ha_motu","adult_biomass_kgha_100m","adult_biomass_kgha_200m","adult_biomass_kgha_side","adult_biomass_kgha_motu","adult_density_ha_100m","adult_density_ha_200m","adult_density_ha_side","adult_density_ha_motu"
"Aie_Exposed",7.52666666666667,6.58666666666667,6.22666666666667,NA,208.92,170.61,128,253.36,440,570,400,453.333333333333,423.42,465,444.78,469.09,660,440,606.666666666667,596.666666666667
"Aie_Protected",9.12,7.5,6.5,6.00333333333333,741,441.93,378.72,253.36,760,550,506.666666666667,453.333333333333,1232.28,1337.34,493.4,469.09,1280,710,586.666666666667,596.666666666667
"Reiono_Exposed",6.87,5.51666666666667,5.36666666666667,5.23333333333333,78,51.09,115.353333333333,166.203157894737,80,70,122.222222222222,177.894736842105,78,112.08,75.5422222222222,233.829473684211,80,100,97.7777777777778,270.526315789474
"Reiono_Protected",9.58,8.03666666666667,6.99333333333333,6.00333333333333,78,58.5,222.52,166.203157894737,80,60,240,177.894736842105,82.68,219.18,402.151111111111,233.829473684211,120,130,451.111111111111,270.526315789474
"Rimatuu_Exposed",6.64666666666667,6.42,6.07666666666667,6.36,3.78,3.06,9.34363636363636,6.48,20,20,56.3636363636364,37.6470588235294,7.56,12.24,13.8436363636364,11.8217647058824,40,40,83.6363636363636,68.8235294117647
"Rimatuu_Protected",3.79333333333333,3.44333333333333,3.43,3.04333333333333,0,3.78,5.39052631578947,6.48,0,20,30.5263157894737,37.6470588235294,3.78,18.9,10.8284210526316,11.8217647058824,20,50,62.1052631578948,68.8235294117647
