"","breeding_biomass_kgha_100m","breeding_biomass_kgha_200m","breeding_biomass_kgha_side","breeding_biomass_kgha_motu","breeding_density_ha_100m","breeding_density_ha_200m","breeding_density_ha_side","breeding_density_ha_motu","adult_biomass_kgha_100m","adult_biomass_kgha_200m","adult_biomass_kgha_side","adult_biomass_kgha_motu","adult_density_ha_100m","adult_density_ha_200m","adult_density_ha_side","adult_density_ha_motu","N.15_at_10m","N.15_at_20m","N.15_at_30m","N.15_at_40m"
"breeding_biomass_kgha_100m",1,0.927633657043918,0.898645105261295,0.970142500145332,1,0.911764705882353,0.985610760609162,0.970142500145332,0.985610760609162,0.927633657043918,0.985610760609162,0.970142500145332,0.985610760609162,0.927633657043918,0.927633657043918,0.970142500145332,0.753702346348183,0.666736691000316,0.666736691000316,0.289473684210526
"breeding_biomass_kgha_200m",0.927633657043918,1,0.885714285714286,0.956182887467515,0.927633657043918,0.869656553478673,0.942857142857143,0.956182887467515,0.942857142857143,1,0.942857142857143,0.956182887467515,0.942857142857143,1,0.885714285714286,0.956182887467515,0.771428571428571,0.657142857142857,0.657142857142857,-0.0512989176042577
"breeding_biomass_kgha_side",0.898645105261295,0.885714285714286,1,0.836660026534075,0.898645105261295,0.695725242782938,0.942857142857143,0.836660026534075,0.942857142857143,0.885714285714286,0.942857142857143,0.836660026534075,0.942857142857143,0.885714285714286,0.828571428571429,0.836660026534075,0.942857142857143,0.885714285714286,0.885714285714286,0.359092423229804
"breeding_biomass_kgha_motu",0.970142500145332,0.956182887467515,0.836660026534075,1,0.970142500145332,0.970142500145332,0.956182887467515,1,0.956182887467515,0.956182887467515,0.956182887467515,1,0.956182887467515,0.956182887467515,0.956182887467515,1,0.717137165600636,0.597614304667197,0.597614304667197,0.0811107105653813
"breeding_density_ha_100m",1,0.927633657043918,0.898645105261295,0.970142500145332,1,0.911764705882353,0.985610760609162,0.970142500145332,0.985610760609162,0.927633657043918,0.985610760609162,0.970142500145332,0.985610760609162,0.927633657043918,0.927633657043918,0.970142500145332,0.753702346348183,0.666736691000316,0.666736691000316,0.289473684210526
"breeding_density_ha_200m",0.911764705882353,0.869656553478673,0.695725242782938,0.970142500145332,0.911764705882353,1,0.869656553478673,0.970142500145332,0.869656553478673,0.869656553478673,0.869656553478673,0.970142500145332,0.869656553478673,0.869656553478673,0.927633657043918,0.970142500145332,0.579771035652448,0.434828276739336,0.434828276739336,0
"breeding_density_ha_side",0.985610760609162,0.942857142857143,0.942857142857143,0.956182887467515,0.985610760609162,0.869656553478673,1,0.956182887467515,1,0.942857142857143,1,0.956182887467515,1,0.942857142857143,0.942857142857143,0.956182887467515,0.828571428571429,0.771428571428571,0.771428571428571,0.359092423229804
"breeding_density_ha_motu",0.970142500145332,0.956182887467515,0.836660026534075,1,0.970142500145332,0.970142500145332,0.956182887467515,1,0.956182887467515,0.956182887467515,0.956182887467515,1,0.956182887467515,0.956182887467515,0.956182887467515,1,0.717137165600636,0.597614304667197,0.597614304667197,0.0811107105653813
"adult_biomass_kgha_100m",0.985610760609162,0.942857142857143,0.942857142857143,0.956182887467515,0.985610760609162,0.869656553478673,1,0.956182887467515,1,0.942857142857143,1,0.956182887467515,1,0.942857142857143,0.942857142857143,0.956182887467515,0.828571428571429,0.771428571428571,0.771428571428571,0.359092423229804
"adult_biomass_kgha_200m",0.927633657043918,1,0.885714285714286,0.956182887467515,0.927633657043918,0.869656553478673,0.942857142857143,0.956182887467515,0.942857142857143,1,0.942857142857143,0.956182887467515,0.942857142857143,1,0.885714285714286,0.956182887467515,0.771428571428571,0.657142857142857,0.657142857142857,-0.0512989176042577
"adult_biomass_kgha_side",0.985610760609162,0.942857142857143,0.942857142857143,0.956182887467515,0.985610760609162,0.869656553478673,1,0.956182887467515,1,0.942857142857143,1,0.956182887467515,1,0.942857142857143,0.942857142857143,0.956182887467515,0.828571428571429,0.771428571428571,0.771428571428571,0.359092423229804
"adult_biomass_kgha_motu",0.970142500145332,0.956182887467515,0.836660026534075,1,0.970142500145332,0.970142500145332,0.956182887467515,1,0.956182887467515,0.956182887467515,0.956182887467515,1,0.956182887467515,0.956182887467515,0.956182887467515,1,0.717137165600636,0.597614304667197,0.597614304667197,0.0811107105653813
"adult_density_ha_100m",0.985610760609162,0.942857142857143,0.942857142857143,0.956182887467515,0.985610760609162,0.869656553478673,1,0.956182887467515,1,0.942857142857143,1,0.956182887467515,1,0.942857142857143,0.942857142857143,0.956182887467515,0.828571428571429,0.771428571428571,0.771428571428571,0.359092423229804
"adult_density_ha_200m",0.927633657043918,1,0.885714285714286,0.956182887467515,0.927633657043918,0.869656553478673,0.942857142857143,0.956182887467515,0.942857142857143,1,0.942857142857143,0.956182887467515,0.942857142857143,1,0.885714285714286,0.956182887467515,0.771428571428571,0.657142857142857,0.657142857142857,-0.0512989176042577
"adult_density_ha_side",0.927633657043918,0.885714285714286,0.828571428571429,0.956182887467515,0.927633657043918,0.927633657043918,0.942857142857143,0.956182887467515,0.942857142857143,0.885714285714286,0.942857142857143,0.956182887467515,0.942857142857143,0.885714285714286,1,0.956182887467515,0.771428571428571,0.714285714285714,0.714285714285714,0.359092423229804
"adult_density_ha_motu",0.970142500145332,0.956182887467515,0.836660026534075,1,0.970142500145332,0.970142500145332,0.956182887467515,1,0.956182887467515,0.956182887467515,0.956182887467515,1,0.956182887467515,0.956182887467515,0.956182887467515,1,0.717137165600636,0.597614304667197,0.597614304667197,0.0811107105653813
"N.15_at_10m",0.753702346348183,0.771428571428571,0.942857142857143,0.717137165600636,0.753702346348183,0.579771035652448,0.828571428571429,0.717137165600636,0.828571428571429,0.771428571428571,0.828571428571429,0.717137165600636,0.828571428571429,0.771428571428571,0.771428571428571,0.717137165600636,1,0.942857142857143,0.942857142857143,0.359092423229804
"N.15_at_20m",0.666736691000316,0.657142857142857,0.885714285714286,0.597614304667197,0.666736691000316,0.434828276739336,0.771428571428571,0.597614304667197,0.771428571428571,0.657142857142857,0.771428571428571,0.597614304667197,0.771428571428571,0.657142857142857,0.714285714285714,0.597614304667197,0.942857142857143,1,1,0.66688592885535
"N.15_at_30m",0.666736691000316,0.657142857142857,0.885714285714286,0.597614304667197,0.666736691000316,0.434828276739336,0.771428571428571,0.597614304667197,0.771428571428571,0.657142857142857,0.771428571428571,0.597614304667197,0.771428571428571,0.657142857142857,0.714285714285714,0.597614304667197,0.942857142857143,1,1,0.66688592885535
"N.15_at_40m",0.289473684210526,-0.0512989176042577,0.359092423229804,0.0811107105653813,0.289473684210526,0,0.359092423229804,0.0811107105653813,0.359092423229804,-0.0512989176042577,0.359092423229804,0.0811107105653813,0.359092423229804,-0.0512989176042577,0.359092423229804,0.0811107105653813,0.359092423229804,0.66688592885535,0.66688592885535,1
