"site.name","distance.along.transect","transect.id.Maya","Avrainvillea.lacerata","Boodlea.composita","Caldora.penicillata","Caulerpa.chemnitzia","Caulerpa.serrulata","Chlorodesmis.fastigiata","Cladophora.fuliginosa","Dictyosphaeria.cavernosa","Dictyota.ceylanica","Dictyota.friabilis","galaxaura.filamentosa","Gelidiella.acerosa","Halimeda.discoidea","Halimeda.distorta","Halimeda.heteromorpha","Halimeda.minima","Halimeda.opuntia","Hydroclathrus.clathratus","Hydrocoleum.coccineum","Hydrocoleum.spp","Hypnea.spinella","Jania.articulata","Lobophora.spp","Lyngbya.sordida","Neomeris.vanbosseae","Oscilllatoria.spp","Pseudanabaena.lonchoides","Pterocladiella.caerulescens","Schizothrix.minuta","Symploca.hydnoides","Turbinaria.ornata","non.algae.cover","shannon","richness","evenness"
"Aie_Protected","10","A1-10-T1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,98.67,0,1,NA
"Aie_Protected","10","A1-10-T2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,97.61,0,1,NA
"Aie_Protected","10","A1-10-T3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,93.99,0,1,NA
"Aie_Protected","10","A1-10-T4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,95.27,0,1,NA
"Aie_Protected","40","A1-40-T1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,1.64,0,0,0,0,0,0,0,5,93.32,0.592271226203197,3,0.539108502892526
"Aie_Protected","40","A1-40-T2",0.04,0,0,0,0,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,4.92,92.752,0.707125637033853,4,0.510083324917095
"Aie_Protected","40","A1-40-T3",0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,4.328,93.952,0.628465184554155,3,0.572053663550467
"Aie_Protected","40","A1-40-T4",0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0.008,0,2.8,95.782,0.664274005807498,4,0.479172406984962
"Aie_Exposed","10","A2-10-T1",0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,2.46,97.28,0.341202271704704,3,0.31057569191981
"Aie_Exposed","10","A2-10-T2",0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,1.6,98.22,0.362819930323722,3,0.330252932782667
"Aie_Exposed","10","A2-10-T3",0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.016,0,3.16,96.604,0.289289405166117,4,0.208678195107438
"Aie_Exposed","10","A2-10-T4",0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.016,0,2.4,97.344,0.380315324513309,4,0.274339516324714
"Aie_Exposed","40","A2-40-T1",0.16,0,0,0,0.02,0.04,0,0,0,0,0,0,0,0.4,0,0,0,0,1.44,0,0,0,1.6,0,0.02,0,0,0,0.064,0,0.06,96.196,1.33936698625173,9,0.609572184867648
"Aie_Exposed","40","A2-40-T2",0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0.4,0,0,0,0,0.96,0,0,0,1.6,0,0.02,0,0,0,0,0,0.08,96.9,1.16058897360926,7,0.596424749710407
"Aie_Exposed","40","A2-40-T3",0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,1.6,0,0,0,0,0,0,0,0,97.18,0.720229361958051,3,0.655581017422637
"Aie_Exposed","40","A2-40-T4",0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.6,0,0,0,0.08,0,0,0,0,97.48,0.82795825025253,4,0.597245630851214
"Reiono_Protected","10","RE2-10-T1",0,0,0,0,0.02,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,5.52,94,0.336629732648676,4,0.242827022954011
"Reiono_Protected","10","RE2-10-T2",0,0,0,0,0.04,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0.72,97.008,0.675091922562444,4,0.486975884412517
"Reiono_Protected","10","RE2-10-T3",0,0,0,0,0.06,0.28,0,0,0,0,0,0,0,0.04,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,98.32,0.883942786929154,5,0.549224533671067
"Reiono_Protected","10","RE2-10-T4",0,0.08,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0.04,0,0,2.96,96.16,0.716035353256336,5,0.444897779357894
"Reiono_Protected","40","RE2-40-T1",0,0,0,0,0.02,1.08,0,0,0,0,0,0,0.008,0.24,0.16,0,0,0,0,0.8,0,0,0.32,0,0,0,0,0,0.032,0,12,85.34,0.741321102965109,9,0.337389773722557
"Reiono_Protected","40","RE2-40-T2",0,0,0.2,0,0.28,2.64,0,0,0,0,0,0,0,0.8,0.16,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,7.52,87.8,1.16713984702241,7,0.599791232698502
"Reiono_Protected","40","RE2-40-T3",0,0,0,0,0.08,2.24,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0.016,0,8,88.464,0.9031597965243,6,0.504063079914074
"Reiono_Protected","40","RE2-40-T4",0,0,0,0,0.32,2,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.064,0,7.92,88.816,0.937686579685286,6,0.523332844496851
"Reiono_Exposed","10","RE1-10-T1",0,0,0.08,0.16,0.08,1.36,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,2.08,95.48,1.31406579205717,7,0.675296232302974
"Reiono_Exposed","10","RE1-10-T2",0,0,0.08,0,0.04,1.36,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0.032,0,3.2,94.368,1.14850059664999,7,0.590212552829099
