"","coral_observed_video","coral_shannon_video","coral_evenness_video","Distance_to_centroid_video","NMDS1_video","NMDS2_video","hard_coral_percent_cover_video","other_fish_inverts_percent_cover_video","sand_percent_cover_video","dead_coral_percent_cover_video","pavement_percent_cover_video","rubble_percent_cover_video","cca_percent_cover_video","macroalgae_percent_cover_video","transect_tape_percent_cover_video","total_percent_cover_video","coral_observed_insitu","coral_shannon_insitu","coral_evenness_insitu","Distance_to_centroid_insitu","NMDS1_insitu","NMDS2_insitu","coral_percent_cover_insitu","pavement_percent_cover_insitu","rubble_percent_cover_insitu","sand_percent_cover_insitu","other_invert_percent_cover_insitu","macroalgae_percent_cover_insitu","cyano_percent_cover_insitu"
"coral_observed_video",1,0.71490382834654,-0.415278295047026,-0.245031160933598,-0.258506903810943,-0.258002889563097,0.324334768913748,0.056271746868959,0.0288972742333472,-0.0168490966657576,-0.362621995922564,0.161553826125538,0.0574656331669051,0.0598835473422015,-0.275070586890299,-0.034501173940286,0.485903620335603,0.442207824002086,-0.00210835245467852,-0.0454692613442399,0.181676035121012,-0.202042376175812,0.306448110927706,0.0960823595520619,-0.0550306053787868,-0.215811420423652,-0.294180278326349,0.0684327759403775,0.367006645104718
"coral_shannon_video",0.71490382834654,1,0.343714765131875,-0.251485945526653,-0.119634832424759,-0.135397637039245,0.211518799140135,0.0728230674536701,0.0368569192354079,-0.530335140303537,-0.176113263127954,0.0531654808719496,-0.15823634700041,-0.0368279715116433,-0.147793253401808,-0.295452678757824,0.322556553623461,0.161499575022287,-0.388240890534588,-0.136511256653588,-0.081712433851905,-0.106875082631594,0.246380658381747,-0.151572636912794,0.00525107763785098,0.0277999859539596,-0.114727453205323,-0.0103276526648199,0.104563338977164
"coral_evenness_video",-0.415278295047026,0.343714765131875,1,-0.104809308170579,0.254355331962502,0.0696642321896217,-0.283046655216255,-0.154826373185758,0.126935751553766,-0.61400479691838,0.199341018064027,-0.175612199339551,-0.327976138243985,-0.0470888322117114,0.13711402390217,-0.178518733417971,-0.159718039470545,-0.237144760839747,-0.419576481782223,-0.136475464485664,-0.404887862663862,0.21833601709904,-0.18797928818773,-0.367573285176081,0.0547548310550611,0.437642316656651,0.236466027149776,-0.137712117670309,-0.19991163082475
"Distance_to_centroid_video",-0.245031160933598,-0.251485945526653,-0.104809308170579,1,0.128422005704171,0.200076013655105,-0.0167792391867488,-0.153489579770883,-0.0805293845956751,0.010875309850344,0.215698123719796,-0.145558609169293,0.188744046638652,0.181686978276108,-0.20957288809644,0.00847161339491777,0.109315577169876,0.12798128818174,-0.0773004968938209,0.332524727922698,0.0301458976511977,-0.406726693357732,0.299365684268749,-0.032736281338385,0.248573067031189,-0.32596808933831,0.271288274113844,0.0666495366287357,0.036856109502914
"NMDS1_video",-0.258506903810943,-0.119634832424759,0.254355331962502,0.128422005704171,1,5.18260977304348e-17,-0.689172874246533,-0.0727638085364314,0.619723698899929,0.0809880784135684,0.642421227163287,-0.948983230738588,-0.322012910585614,-0.00477266659095417,0.00990778647013385,-0.137496238324834,-0.065058088695488,0.16140590601169,0.366651067507168,-0.29371010996662,-0.189427988873517,0.663920025648368,-0.491146043070976,-0.0914686689234025,-0.36422223207483,0.626670877952885,-0.293900516724135,-0.0743557437116978,-0.166610174926318
"NMDS2_video",-0.258002889563097,-0.135397637039245,0.0696642321896217,0.200076013655105,5.18260977304348e-17,1,-0.168651820631597,0.00199590641915105,-0.777057264854618,0.310417750590659,0.751259644374449,0.0287341412791516,0.346201995056748,0.637594135139855,0.0230954197031732,-0.002448976430142,0.0327979855489193,-0.0636943890110674,-0.338222045568326,-0.00773611621857015,0.677234878552284,-0.116281199774294,-0.138107876557149,0.62470936091663,-0.25541799833849,-0.562833749001568,0.0844185203092168,0.681040363412555,0.216848450292462
"hard_coral_percent_cover_video",0.324334768913748,0.211518799140135,-0.283046655216255,-0.0167792391867488,-0.689172874246533,-0.168651820631597,1,0.17435358400875,-0.353075240461258,-0.169791269216981,-0.532768455911231,0.439663534639079,0.0225574303828358,-0.168495172886827,-0.0757176383395685,0.0118759215663202,0.392767199250009,0.0820783623162485,-0.559239427519378,0.490422456151366,0.160105684007165,-0.473206706271963,0.733276094461033,-0.0314203240268867,0.0274285764941873,-0.390816313671184,0.0895205319548624,0.127577716364919,-0.0632096184441588
"other_fish_inverts_percent_cover_video",0.056271746868959,0.0728230674536701,-0.154826373185758,-0.153489579770883,-0.0727638085364314,0.00199590641915105,0.17435358400875,1,-0.0724234217515587,-0.142799719120055,-0.00548950668801367,0.0337056731191526,-0.197374289700769,-0.272841380144123,0.0136807132689229,-0.0386744923333727,0.050468868131904,-0.061592609474355,-0.306514892894298,0.0451446643901092,-0.0452108879097126,-0.105920693021628,0.148687061977842,-0.0805552267229209,0.112426078743747,-0.0618137840894014,0.067056117526802,-0.047405295113065,-0.0815946627150261
"sand_percent_cover_video",0.0288972742333472,0.0368569192354079,0.126935751553766,-0.0805293845956751,0.619723698899929,-0.777057264854618,-0.353075240461258,-0.0724234217515587,1,-0.207420512935002,-0.194028663146601,-0.590849564721097,-0.465447997259091,-0.468947217338699,-0.0296363292658897,-0.102208403947054,-0.118050161541245,0.11117311977545,0.56235166667349,-0.206937459587778,-0.680052357030653,0.492531646846466,-0.235648159866152,-0.569936022745463,0.0256404913432257,0.836406250208493,-0.237545475527941,-0.581890562494993,-0.277016212797762
"dead_coral_percent_cover_video",-0.0168490966657576,-0.530335140303537,-0.61400479691838,0.010875309850344,0.0809880784135684,0.310417750590659,-0.169791269216981,-0.142799719120055,-0.207420512935002,1,0.292700590024625,-0.0627574654789441,0.206036885519894,0.293730129773372,0.014214401374154,0.503033629292149,0.225059704529283,0.393007391041958,0.52790342961632,-0.0624596556880449,0.484299728765834,0.0725142523294332,-0.236457709146943,0.498456369874609,-0.252165298560318,-0.276169351116035,-0.204972555339476,0.30663283812273,0.471615915264314
"pavement_percent_cover_video",-0.362621995922564,-0.176113263127954,0.199341018064027,0.215698123719796,0.642421227163287,0.751259644374449,-0.532768455911231,-0.00548950668801367,-0.194028663146601,0.292700590024625,1,-0.59802044069732,-0.0129263913637285,0.37465342647617,0.030940519381943,-0.0352933612673106,0.0450241508653271,0.0853432849304016,-0.0743608487056462,-0.182476995021334,0.389389512160064,0.337608297538313,-0.370904953158469,0.411184833549481,-0.449320502406467,-0.0149315815190021,-0.137685214210551,0.418481872595853,0.0635711209794349
"rubble_percent_cover_video",0.161553826125538,0.0531654808719496,-0.175612199339551,-0.145558609169293,-0.948983230738588,0.0287341412791516,0.439663534639079,0.0337056731191526,-0.590849564721097,-0.0627574654789441,-0.59802044069732,1,0.36135195781229,0.00258155025169138,0.018821303147663,0.183849308606196,-0.098469726471141,-0.245262984424852,-0.239368552335582,0.166099428680097,0.129936373629515,-0.6178336034182,0.311946906662502,0.0998631201748803,0.453591282823209,-0.58593569899727,0.355826854730535,-0.0220950440001965,0.213800954856464
