"","motu","site.name","wind.exposure","rat.eradication.status","transect","observed","shannon","evenness","sum_dens","Distance_to_centroid","NMDS1","NMDS2","NMDS3"
"1","aie","A1","leeward","None","1",14,2.22513988826351,0.84315708616603,2466.66666699,0.335882037161165,-0.188098445922045,0.114703264850739,-0.565411672737163
"2","aie","A1","leeward","None","2",17,2.33518310584673,0.824217177554137,4833.333334,0.296302887218019,-0.539830163802911,0.0479578001959285,0.195469667901538
"3","aie","A1","leeward","None","3",24,2.19492087487766,0.690649369723655,12400.00000207,0.242424397114712,-0.161670329776202,0.36624122398976,-0.0700405863862789
"4","aie","A1","leeward","None","4",25,2.65167230064961,0.823788317698831,6266.66666758,0.255171422474643,-0.121318117970643,0.128742088234361,0.117142549004329
"5","aie","A2","windward","None","1",18,2.46423482518812,0.852566739367041,4133.33333369,0.305590154552295,-0.325527911773938,-0.419944730861207,0.191081540394693
"6","aie","A2","windward","None","2",18,2.50167461215037,0.86552001669546,2966.66666694,0.27779315520477,-0.541656117566236,-0.14053937960711,0.0999530094476777
"7","aie","A2","windward","None","3",14,1.64533681632426,0.623456261393205,4033.33333391,0.326708391191843,0.0354263953374899,-0.262248254273968,0.363891639030049
"8","aie","A2","windward","None","4",18,1.89748852694745,0.656485976851847,5366.66666746,0.306770559954119,-0.427488951412198,0.157700926423516,-0.0238525065231964
"9","reiono","Re1","leeward","eradicated_2018","1",10,1.90591345783292,0.827727697721983,5633.33333369,0.33998449821518,0.0810819160356575,-0.484105539784295,-0.218434499244872
"10","reiono","Re1","leeward","eradicated_2018","2",17,2.45846722997991,0.867731064142244,5033.33333391,0.332519429442012,-0.0283139234645292,0.420535638758882,-0.252660813048088
"11","reiono","Re1","leeward","eradicated_2018","3",14,1.91080256980496,0.724047389331831,7733.33333447,0.245264836020973,0.287519378385119,-0.162950527707671,0.149108249383365
"12","reiono","Re1","leeward","eradicated_2018","4",15,2.16224413501825,0.798450536159997,5266.66666738,0.138195623859944,0.078661436606208,-0.0996658345091848,-0.0276188877816267
"13","reiono","Re2","windward","eradicated_2018","1",13,1.91473093663656,0.746498534587645,2833.3333337,0.378060244752244,-0.44705064817559,-0.280765526070614,-0.363842479242207
"14","reiono","Re2","windward","eradicated_2018","2",16,2.20798916004022,0.796363752881654,5900.00000057,0.291353299230424,0.0209809694204399,0.028342019588039,-0.307022545731309
"15","reiono","Re2","windward","eradicated_2018","3",16,2.12617968053982,0.766857220288418,5466.66666744,0.294057719340438,-0.0909408843184248,0.287826843329535,0.374741202720896
"16","reiono","Re2","windward","eradicated_2018","4",21,2.11212449537869,0.693745747841508,8500.00000115,0.218853410798102,-0.0785902072614052,0.359042662075477,0.176806867346225
"17","rimatuu","Rm1","leeward","eradicated_2022","1",16,2.1641812451773,0.780563387500549,6100.00000073,0.258089919694688,0.164575457015885,0.0825974840165075,-0.284010344325518
"18","rimatuu","Rm1","leeward","eradicated_2022","2",22,2.49747096729284,0.807970451709395,7266.66666763,0.295241712735925,0.438763227572678,0.34623650440229,0.135816945813891
"19","rimatuu","Rm1","leeward","eradicated_2022","3",20,2.09950940857544,0.700833458019492,7500.000001,0.231752904873205,0.309486058341787,0.139525195367829,-0.0192088628504805
"20","rimatuu","Rm1","leeward","eradicated_2022","4",21,2.21470982637604,0.727440796275463,8533.33333456,0.342755020559989,-0.04827444494493,-0.313098387577047,0.0784772499798145
"21","rimatuu","Rm2","windward","eradicated_2022","1",20,2.65697243130212,0.886919186590067,4366.66666711,0.304114299303605,0.443039125918597,0.054446077726111,-0.249505600268619
"22","rimatuu","Rm2","windward","eradicated_2022","2",16,1.9101362435865,0.688936021511129,5566.66666737,0.344912307053661,0.675871335248513,-0.337944892285607,-0.12229392740556
"23","rimatuu","Rm2","windward","eradicated_2022","3",21,1.44286587121907,0.473921904250438,12200.00000206,0.275847412056416,0.165222824035058,-0.0791035618334242,0.287837902197233
"24","rimatuu","Rm2","windward","eradicated_2022","4",21,1.62261709655458,0.532962765013454,16966.66666919,0.235098700631313,0.29813202247162,0.0464689055511553,0.333575902325207
