Date_collected,Month,Year,Motu,Purpose,Collected_by,GPS_name,Longitude,Latitude,vial,N15,C13,N_percent,C_percent,Notes,Duplicate_N15,Duplicate_C13,Duplicate_N,Duplicate_C,Triplicate_N15,Triplicate_C13,Triplicate_N,Triplicate_C
10-Nov-21,Nov,2021,Rimatuu,ATA,*no algae found nov 2021,118,-149.56033,-17.024917,,,,,,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",119,-149.56042,-17.024625,119 _10/11/21,4.43,-8.22,0.31,28.09,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",120,-149.56064,-17.024186,120 _10/11/21,4.64,-7.24,0.46,27.76,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",121,-149.56091,-17.023608,121 _10/11/21,4.66,-8.11,0.36,28.36,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",122,-149.56116,-17.023181,122 _10/11/21,3.72,-8.93,0.27,31.37,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",123,-149.56142,-17.022561,123 _10/11/21,2.89,-8.7,0.26,31.32,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",124,-149.56161,-17.022191,124 _10/11/21,3.05,-8.62,0.36,30.86,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",125,-149.56187,-17.021731,125 _10/11/21,3.95,-7.57,0.4,27.9,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",126,-149.56208,-17.021322,126 _10/11/21,4.52,-7.16,0.49,29.65,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",127,-149.56236,-17.020908,127 _10/11/21,3.32,-7.95,0.41,27.31,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",128,-149.56249,-17.02032,128 _10/11/21,4.82,-7.03,0.52,27.53,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",80,-149.56211,-16.989058,80 Auroa 291121,11.9,-7.97,0.59,29.77,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",81,-149.56213,-16.988608,81 Auroa 291121,14.58,-8.48,0.68,27.8,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",82,-149.56212,-16.988159,82 Auroa 291121,16.64,-10.2,0.88,28.16,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",83,-149.5621,-16.987677,83 Auroa 291121,15.4,-8.64,0.9,31.35,,,,,,,,,
10-Nov-21,Nov,2021,Auroa,ATA,"Hannah Epstein, Kal Bistolas (OSU)",84,-149.56211,-16.98722,,,,,,SAME GPS AS POINT 129 - so use those data,,,,,,,,
10-Nov-21,Nov,2021,Auroa,ATA,"Hannah Epstein, Kal Bistolas (OSU)",85,-149.56211,-16.987213,,,,,,SAME GPS AS POINT 129 - so use those data,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",129,-149.56211,-16.987216,129T Auroa 291121,14.47,-9.03,0.76,25.81,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",130,-149.5623,-16.986791,130T Auroa 291121,15.38,-8.73,0.92,29.85,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",131,-149.56247,-16.98634,131T Auroa 291121,13.05,-8.1,0.73,28.52,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",132,-149.56265,-16.985917,132T Auroa 291121,14,-8.8,0.88,29.77,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",133,-149.5626,-16.985467,133T Auroa 291121,12.8,-9.98,0.79,26.21,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",134,-149.56285,-16.985089,134T Auroa 291121,13.8,-9.89,0.84,26.82,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",135,-149.56317,-16.985288,135T Auroa 291121,13.35,-9.15,0.73,24.98,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",136,-149.56327,-16.985731,136T Auroa 291121,14.05,-9.54,0.79,26.43,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",137,-149.56341,-16.986185,137T Auroa 291121,12.04,-7.73,0.7,26.22,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",138,-149.5635,-16.986617,138T Auroa 291121,13.49,-8.97,0.79,25.58,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",139,-149.56369,-16.98705,139T Auroa 291121,13.89,-9.04,0.97,31.31,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",140,-149.56371,-16.98747,140T Auroa 291121,12.31,-10.81,0.83,28.42,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",141,-149.56294,-16.989183,141T Auroa 291121,14.88,-9.11,0.68,27.61,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",142,-149.56247,-16.98914,142T Auroa 291121,11.94,-8.8,0.5,27.78,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",346,-149.54353,-16.997139,,,,,,"On original GPS sheet, but no other record of this sample. ",,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",347,-149.54354,-16.996845,341 _11/11/21,6.67,-7.68,0.52,30.42,"Mislabelled in analysis vial as 341, but definitely 347",,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",348,-149.54482,-16.991204,348 _11/11/21,9.75,-8.8,0.54,27.97,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",349,-149.54516,-16.991098,349 _11/11/21,10.54,-8.71,0.45,28.16,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",350,-149.54553,-16.991034,350 _11/11/21,9.33,-8.3,0.5,28.05,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",351,-149.54596,-16.990882,351 _11/11/21,11.25,-9.83,0.72,25.83,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",352,-149.5465,-16.990848,352 _11/11/21,11.33,-10.11,0.74,26.2,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",353,-149.54692,-16.990811,353 _11/11/21,11.07,-10.51,0.75,26.45,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",354,-149.54731,-16.990779,354 _11/11/21,12.04,-10.84,0.63,27.21,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",355,-149.54782,-16.990748,355 _11/11/21,11.04,-9.52,0.65,26.61,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",356,-149.54809,-16.990799,356 _11/11/21,11.78,-10.5,0.55,25.65,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",357,-149.5485,-16.99084,357 _11/11/21,10.12,-10.28,0.53,27.15,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",358,-149.54881,-16.990852,358 _11/11/21,9.9,-10.71,0.47,27.23,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",359,-149.54924,-16.990806,359 _11/11/21,10.71,-11.03,0.52,27.26,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",360,-149.54952,-16.990691,360 _11/11/21,11.92,-8.72,0.53,26.17,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",361,-149.54998,-16.990688,361 _11/11/21,12.03,-8.34,0.53,27.3,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",362,-149.55039,-16.990748,362 _11/11/21,11.71,-10.03,0.52,26.62,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",363,-149.55091,-16.990782,363 _11/11/21,12.68,-10.01,0.58,27.45,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",364,-149.55131,-16.990909,364 _11/11/21,12.25,-10.33,0.57,26.53,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",365,-149.55178,-16.991124,365 _11/11/21,9.99,-7.86,0.4,28.83,,,,,,,,,
11-Nov-21,Nov,2021,Oroatera,ATA,"Hannah Epstein, Kal Bistolas (OSU)",366,-149.55214,-16.991178,366 _11/11/21,10.77,-9.72,0.55,28.11,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",368,-149.55409,-16.990375,368 HIR 07/11/21,11.04,-9.25,0.57,27.47,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",369,-149.55424,-16.990149,369 HIR 07/11/21,9.99,-8.78,0.46,26.75,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",370,-149.5546,-16.989873,370 HIR 07/11/21,10,-9.85,0.54,27.69,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",371,-149.555,-16.989682,371 HIR 07/11/21,9.9,-9.06,0.5,28.16,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",372,-149.55551,-16.989582,372 HIR 07/11/21,9.91,-9.49,0.4,27.98,,,,,,,,,
7-Nov-21,Nov,2021,Hiranae,ATA,"Hannah Epstein, Kal Bistolas (OSU)",373,-149.556,-16.989423,373 HIR 07/11/21,9.98,-10.09,0.43,27.19,,,,,,,,,
